snapshot,rows_used,strict_open_rows_60m,avg_minutes_from_open_to_snapshot,naive_brier,market_brier,model_brier,bss_vs_naive,bss_vs_market,takeaway
open,248,1.0,438.36735007358874,0.25,0.1412633125,0.11239859196205346,0.5504056321517862,0.20433274589923367,model beats market
mid,431,,,0.25,0.07303371171693736,0.06678799248550563,0.7328480300579775,0.08551830496632529,model beats market
24h,434,,,0.25,0.04629036808755761,0.03689048298765866,0.8524380680493654,0.20306352030122543,model beats market
